sample_id,region,climate_zone,month,altitude_m,pH,moisture,temperature,humidity,N_avail,P_avail,K_avail,NPK_composite,Crop,N_apply_kg_ha,P_apply_kg_ha,K_apply_kg_ha
1,Terai,Subtropical_Humid,5,557.669111758569,6.67113629296492,50.6004023311423,31.0575446155894,81.5529775913375,79.5844313924972,83.9614126963405,89.8902660184261,84.4787033690879,Maize,16.317040453073,10.6483080216754,0.778861554421194
2,Terai,Subtropical_Humid,4,468.862967122196,6.53038978418023,54.2724479647741,29.5480441278101,78.3787611647097,88.0425717199623,94.5884256777245,99.0634835502991,93.8981603159953,Maize,12.2931726705981,0.87684064923535,0
3,Hill,Temperate_Hill,3,2043.48648035482,6.29220342189075,54.7367992143248,8.35464522466056,72.877071080013,82.1961824343131,79.284653427333,91.4487167110376,84.3098508575612,Potato,19.0330573580871,10.4119077034382,6.04434337779768
4,Terai,Tropical_Monsoon,7,425.794614349228,6.14051051573168,70.2747166998314,27.1500411323982,73.4098580643752,96.8303101484972,95.152143442661,98.7371475826342,96.9065337245975,Rice,5.50061820797346,0,0
5,Terai,Tropical_Monsoon,9,656.72419387919,6.04217070172061,77.0217145052007,20.6385298737927,65.4978232766636,92.1115619777789,90.5621439774099,93.8653836361555,92.1796965304481,Rice,19.7036604462989,11.2829929950237,1.32491825847569
6,Terai,Subtropical_Humid,8,526.206308274829,6.46126066542219,72.4497792823231,27.915967254992,63.395339811293,100,100,100,100,Rice,0,4.87795890901451,0
7,Terai,Tropical_Monsoon,7,296.994168697724,5.89391027594017,69.1703981676733,30.9443711834379,71.190861397906,87.3437111801661,80.6653304345188,87.6137067431332,85.2075827859394,Rice,18.3731016562354,11.0504703465645,5.34096494545267
8,Mountain,Alpine_Cold,9,4217.42366338305,6.20118033170818,54.0824719388105,4,53.7373229481166,75.3299168047848,74.79168830626,85.4219027717407,78.5145026275952,Millet,0,14.3973932343039,12.0197752055473
9,Hill,Alpine_Cold,12,2119.12641161658,5.76080923623354,47.0934317785153,4.4350760376125,60.5815564293893,56.0668250893842,52.9018533259598,62.7420093069261,57.2368959074234,Millet,15.3265629995569,11.2837932195117,5.92369095374013
10,Hill,Temperate_Hill,8,1716.13437910379,5.75085850412019,64.0937400129717,13.7492194167686,67.8032458159946,75.9577371100316,68.5439205642833,77.2804611240516,73.9273729327889,Potato,23.6969787788806,17.2508823766068,9.91455408841218
